Lon,Lat,Lon2,Lat2
21.0516272,52.2259217,21.039471,52.223152
20.883255,52.308598,20.882591,52.313412
21.0171533,52.1636938,21.0174245,52.1557533
21.1398941,52.0728786,21.139172,52.0733841
21.0814967,52.20576,21.069123,52.203113
20.9407326,52.3971306,20.9480525,52.4029011
20.964432,52.252293,20.967751,52.244385
21.0317775,52.1496235,21.024052,52.142554833
20.957409,52.228039,20.956846,52.239525
20.951218,52.260601,20.953024,52.254486
20.977768,52.278934,20.987644,52.283653
21.1498516,52.377239,21.1436303,52.3697465
21.039,52.197594,21.045303,52.191589
20.7377798,52.2519448,20.7480568,52.2550396
21.0282268,52.1664043,21.0167598,52.1668011
21.069123,52.203113,21.053963,52.199526
21.008123,52.305309,21.000071,52.315697
21.051876,52.337605,21.048084,52.327404
20.953024,52.254486,20.957224,52.247471
20.987644,52.283653,20.998766,52.288654
21.0176369,52.1596122,21.0142224,52.1679015
20.987396,52.2835635,20.9989585,52.2888471
20.7686849,52.256586,20.7547881,52.2569582
21.1682588,52.1041848,21.1830498,52.1083053
21.1732975,52.2254247,21.1867913,52.2248522
21.2110694,52.2242165,21.1933049,52.2248547
20.855117333,52.262490833,20.861984333,52.270833167
21.0176729,52.1589314,21.0179262,52.1662256
21.0688043,52.2027022,21.0811504,52.2053043
20.946552,52.401882,20.938471,52.395519
20.984772,52.282284,20.995272,52.287102
20.9289681,52.0934058,20.9188258,52.0968255
21.1867913,52.2248522,21.1994587,52.2243446
21.1211024,52.266828,21.1264217,52.2599367
21.1404701,52.2453947,21.1482239,52.2512165
21.1933049,52.2248547,21.1790372,52.2253496
20.946154,52.266582,20.95433,52.261791
20.764008,52.23159,20.751068,52.230797
20.977711,52.313358,20.972454,52.320618
20.997669,52.312019,21.009161,52.315723
21.017227333,52.142461,21.017789667,52.134735833
20.957102,52.248291,20.952639,52.254791
21.2702386,52.2013079,21.2628399,52.2089336
21.181111,52.225278,21.202008,52.224479
21.017232,52.1621245,21.01756,52.1546579
20.870478,52.249432,20.85858,52.250755
21.0811504,52.2053043,21.0889099,52.2119791
21.00491,52.259224,21.015377,52.262344
20.4763686,52.2654446,20.487891,52.263299
20.8651936,52.0483733,20.8682153,52.0561326
20.945902,52.192703,20.934095,52.194904
21.1994587,52.2243446,21.210528,52.2240479
21.1790372,52.2253496,21.1652414,52.2257851
21.1460955,52.3301299,21.1585175,52.3320976
21.03339,52.299564,21.043875,52.302414
21.032925,52.239463,21.022278,52.246
21.202008,52.224479,21.216443,52.223951
21.1368956,51.9470818,21.1243443,51.9378996
20.986065,52.282978,20.998722,52.288738
21.004066,52.291298,20.995205,52.29792
21.0444597,52.2243145,21.0577387,52.2271412
21.043875,52.302414,21.058455,52.305996
20.972818,52.27673,20.962265,52.270527
21.0334488,52.3933756,21.0302565,52.385942
21.084156,52.2071366,21.0918186,52.2138565
21.0054716,52.0535736,20.9935686,52.0503828
21.1243443,51.9378996,21.1141538,51.930099
20.7709355,52.2564505,20.783482,52.2554825
21.129326,51.9593593,21.1186941,51.956268
20.8764671,52.0569368,20.888361,52.0555336
21.087872,52.302387,21.083258,52.296635
21.1168786,52.2326233,21.1296026,52.2325965
21.02761,52.242972,21.0354791,52.2359648
21.0918186,52.2138565,21.0991061,52.2185905
20.727432,52.254059,20.7143244,52.2569174
21.1141538,51.930099,21.1019331,51.9206796
20.9809791,52.2805344,20.993126,52.286171
20.9229974,52.1926863,20.9108096,52.187688
20.994211,52.180031,20.9796797,52.1834542
21.028091,52.251911,21.016985,52.247139
20.733362,52.232311,20.717678,52.233715
20.7143244,52.2569174,20.7030262,52.2589837
21.1019331,51.9206796,21.0923888,51.9135006
20.993126,52.286171,21.003025,52.290237
21.035809,52.234779,21.046471,52.236977
20.7953658,52.2543308,20.7955776,52.2614598
21.1814283,52.0922393,21.1911461,52.0881588
20.990837,52.216305,21.003544,52.217064
21.1410005,52.2561364,21.1381266,52.2491416
21.1420357,52.2766829,21.1435586,52.2687926
20.9631758,52.188453,20.973771,52.1849896
21.008867,52.28392,21.002979,52.290489
21.017878,52.154706,21.017593,52.162723
21.081575,52.205581,21.086781,52.210328
20.717678,52.233715,20.70155,52.232853
20.9738985,52.133840667,20.9652085,52.129306833
21.001411,52.290192,20.990574,52.285358
21.087776,52.158318,21.091644,52.15081
21.109803,52.2077742,21.1172627,52.2003754
21.003544,52.217064,21.017487,52.217049
21.0598572,52.201569,21.0743739,52.2036959
21.12034,52.232235,21.10801,52.22454
21.017593,52.162723,21.01923,52.170853
21.2517888,52.1355706,21.259998,52.1408896
21.0895598,51.9112,21.0824901,51.905029
20.836178,52.2584,20.825418,52.263775
21.038729,52.161568,21.045116,52.156105
20.99754,52.295372,20.996878,52.288197
21.017487,52.217049,21.028671,52.220097
21.0516591,52.2259426,21.0378156,52.2225801
21.3150098,52.4782058,21.3043525,52.4829066
21.0910067,52.21356,21.0830317,52.2066967
21.097712,52.140274,21.099261,52.132961
21.003339,52.266092,20.997354,52.271775
20.997486,52.295364,20.996527,52.288067
21.093081,52.147404,21.098843,52.13858
21.2642778,52.095394,21.2603753,52.0866341
21.0948779,52.2160307,21.0853712,52.2089005
21.1199019,52.1967581,21.1275312,52.1878155
21.051054,52.304638,21.036011,52.3008
21.051451,52.304779,21.038538,52.301342
21.052008,52.226021,21.038347,52.222755
20.745127,52.254158,20.758865,52.256569
21.028671,52.220097,21.041061,52.223591
21.0835767,52.2067342,21.0936325,52.2150079
21.0053663,52.287809,21.0112023,52.2794888
21.1880796,52.3577271,21.1738545,52.3599575
20.9988502,52.2944992,20.9902885,52.3027644
21.1010726,52.2343205,21.1134008,52.233566
20.69239,52.229607,20.692642,52.221066
20.9884278,52.2840391,20.9991303,52.2889208
21.079651,52.307739,21.066671,52.307621
20.970507,52.314663,20.959171,52.310364
21.048629,52.2606195,21.058504,52.266205
21.034443,52.23465,21.023771,52.232475
20.758865,52.256569,20.7712027,52.2564352
21.041061,52.223591,21.053576,52.226185
21.1672249,52.2256813,21.1809321,52.2251588
21.0980783,52.218185,21.088015,52.211645
20.9312417,52.2923517,20.93548,52.2987467
21.1381936,52.2486281,21.1412525,52.2562246
20.977987,52.31308,20.973476,52.319221
20.692642,52.221066,20.691452,52.212864
20.6686604,52.2630682,20.6562984,52.2632285
21.144209,52.269341,21.142405,52.276443
20.950325,52.182327,20.944302,52.176643
21.0806657,52.2053354,21.0696439,52.2034862
21.041937,52.257736,21.052032,52.262127
20.959171,52.310364,20.94883,52.305492
20.921526,52.380447,20.930595,52.375137
20.9946406,52.1100556,21.006313,52.1103251
21.0861263,51.9615308,21.0832896,51.9687711
20.962683,52.188828,20.952026,52.191517
21.1809321,52.2251588,21.193123,52.2247348
21.1804534,52.1919134,21.1735874,52.1988019
21.121903,52.2326114,21.1348721,52.230697
21.0505796,52.0769618,21.0394115,52.0766241
21.05075,52.2257817,21.0409367,52.223855
20.93548,52.2987467,20.950003,52.305929
20.810652,52.210545,20.813055,52.221287
21.00033,52.268409,21.005683,52.261899
21.06847,52.153666,21.061818,52.150463
21.2574185,52.2149213,21.263539,52.208223
21.142405,52.276443,21.140434,52.284798
20.9578466,52.0271985,20.9541305,52.0193916
21.1353867,52.1816289,21.1440121,52.1765292
20.9162272,52.1502767,20.9080141,52.1440684
20.94883,52.305492,20.936737,52.299656
21.006313,52.1103251,21.0085861,52.1104741
20.7759194,52.2560951,20.7892519,52.2549152
21.1055669,52.222398,21.1143962,52.2282644
21.2088001,52.2471856,21.2210816,52.2462702
21.1292074,52.2327249,21.1388635,52.228987
21.193123,52.2247348,21.2059823,52.2242641
21.0950117,52.14445,21.0998817,52.135925
21.0817683,52.2058933,21.06797,52.2030617
21.0804133,52.292955,21.085055,52.2985833
20.950003,52.305929,20.958823,52.310144
20.98522,52.2825433,20.9967783,52.2878317
21.0460355,52.2175405,21.0451813,52.2244586
21.0457733,52.2245886,21.0573773,52.2270523
21.017666,52.159966,21.018234,52.167458
20.813055,52.221287,20.815889,52.229881
21.0538575,52.1988165,21.064787833,52.202347167
20.994905,52.275692,20.990919,52.282681
20.901174,52.2973408,20.9075868,52.3051701
21.2855075,52.1550388,21.2928416,52.163063
20.9541305,52.0193916,20.9447868,52.010348
20.812796,52.095535,20.824993,52.101521
21.067104,52.229572,21.083313,52.235828
21.1143962,52.2282644,21.1262941,52.2327517
20.8578,52.350273,20.843603,52.354954
21.2220371,52.2238659,21.2073459,52.2243597
21.296129,52.4931918,21.293622,52.5033158
21.06797,52.2030617,21.055075,52.2002183
20.967108,52.039265,20.9611667,52.0311233
20.978531,52.312317,20.97295,52.32
20.958823,52.310144,20.974685,52.315848
20.9075868,52.3051701,20.9141136,52.3110668
21.190735,52.224937,21.179544,52.225334
21.07393,52.268153,21.081974,52.271538
21.260053,52.204843,21.252349,52.201923
20.8063985,52.274214,20.8091118,52.2667604
20.824993,52.101521,20.835104,52.105614
21.039703,52.223114,21.050056,52.225468
20.843603,52.354954,20.833832,52.358051
21.16643,52.2062495,21.1594314,52.2131762
21.2073459,52.2243597,21.1915274,52.2249121
21.293622,52.5033158,21.2907665,52.5100041
21.100305,52.135625,21.0955,52.144255
21.055711,52.226738,21.043919,52.224381
21.029241,52.220293,21.040711,52.223565
21.0013283,52.29241,20.9937117,52.29935
21.153824,52.174511,21.148003,52.181286
20.983759,52.308102,20.977579,52.313599
20.997591,52.295685,20.988623,52.304237
20.952324,52.254894,20.953453,52.261795
20.991743,52.285522,21.0035,52.290386
21.012871,52.4417236,21.0218839,52.4370683
20.9419091,52.0070405,20.9367701,51.9997826
21.1633412,52.2413557,21.1749024,52.2441822
20.996647,52.296448,20.9904,52.302536
20.8091118,52.2667604,20.8129083,52.2596148
21.087019,52.301216,21.081608,52.294651
21.092192,52.235359,21.105328,52.233818
21.1915274,52.2249121,21.1748194,52.2255055
21.0955,52.144255,21.0921667,52.1506767
21.034267,52.267776,21.023214,52.264591
21.040711,52.223565,21.054286,52.226398
21.0688533,52.2300163,21.0784241,52.2350273
20.977579,52.313599,20.972523,52.320671
20.964625,52.128951,20.974721667,52.134231167
21.0170917,52.1651433,21.017345,52.1567083
21.017673,52.1572,21.017928,52.166514
21.032979,52.239362,21.0217403,52.2463341
20.9992976,52.2892713,20.9902846,52.2851776
21.252093,52.202105,21.260511,52.205131
21.034534,52.2999991,21.0462713,52.3030216
21.029464,52.220306,21.0374,52.222259
20.8079398,52.3021466,20.8115256,52.3089141
21.005152,52.217278,20.992329,52.216621
20.825344,52.212326,20.836699,52.21397
21.0379162,52.2352452,21.0488112,52.2374114
21.0913117,52.1538533,21.08751,52.1592783
20.844219,52.228386,20.856636,52.225498
20.970894,52.213165,20.958456,52.223316
21.1169431,52.2144436,21.1300776,52.2144025
21.0967746,52.2172971,21.0863163,52.2100285
21.2944888,52.1762573,21.3028131,52.182957
20.8643559,52.1753324,20.8775401,52.1798962
21.0098588,52.1105001,20.9966366,52.1097583
21.0534147,52.1984622,21.0684506,52.2028904
21.1596344,52.2129549,21.1668814,52.2057476
21.018278,52.263397,20.999987,52.258732
20.788687,52.299648,20.80138,52.295471
21.0863163,52.2100285,21.07888,52.2046906
21.000308,52.2897666,20.9913173,52.2856545
21.1402699,52.2451787,21.1499321,52.2519845
21.1285279,52.2348301,21.1346877,52.2408501
21.050996,52.2258322,21.0401916,52.2235033
21.1968573,52.0043768,21.1953941,52.0115528
20.921048,52.0963648,20.9328058,52.091526
20.977762,52.278957,20.987448,52.283512
21.0684506,52.2028904,21.0826136,52.2061132
21.0172215,52.1605176,21.0173851,52.153515
20.970027167,52.1317135,20.961311833,52.127341167
20.931404,52.292534,20.937288,52.299702
20.990309,52.302322,20.9981,52.294815
21.0117661,52.27905,21.0066638,52.2868778
20.987448,52.283512,21.001959,52.289944
21.0542769,52.2265012,21.0413588,52.22384
20.990984,52.281708,20.995737,52.273026
21.275538,52.197081,21.281403,52.189226
21.3183853,52.1885901,21.3300126,52.1892703
21.3471498,52.11265,21.357886,52.1165685
20.9384923,52.069781,20.9504503,52.0686063
20.802643,52.253498,20.815191,52.25251
21.0872887,52.2107461,21.0976132,52.2174959
20.9920406,52.3006374,20.9992466,52.2937641
21.1722419,52.2000782,21.1791082,52.1932075
21.1404089,52.2285275,21.1296979,52.2330827
21.1230583,52.232615,21.1356483,52.230385
21.007635,52.260108,21.002406,52.2673615
21.281403,52.189226,21.286771,52.183961
21.139458,52.252373,21.137749,52.245159
21.0380235,52.414069,21.0384146,52.4071093
21.0241101,52.2646011,21.0346876,52.267665
21.012647,51.936042,21.011822,51.9431085
21.1849201,52.1560041,21.1963599,52.1582324
21.042298,52.2238924,21.0536277,52.2261947
21.0838522,52.2070026,21.0910262,52.2133214
21.2617738,52.5132581,21.2500438,52.5112293
21.1285973,52.3516016,21.1226176,52.3445923
21.1293233,52.2355933,21.1343883,52.2406567
20.9196975,52.096598333,20.930222167,52.092755
20.984964,52.282398,20.996655,52.287735
20.957376,52.246868,20.956696,52.240067
20.837301,52.291119,20.825899,52.290806
21.3357483,52.189498,21.3503963,52.1905106
21.1221851,52.2327324,21.1099369,52.2257047
21.053341,52.355603,21.054751,52.347951
20.983807,52.281902,20.995749,52.287346
21.1386572,52.2440559,21.1395125,52.2517749
21.1599688,52.3319786,21.1481118,52.3308261
20.991756,52.300903,20.999743,52.293301
21.093367,52.215019,21.085892,52.209499
21.2386368,52.090202,21.2400918,52.0838446
21.0199651,52.4385643,21.0105073,52.4424538
20.996493,52.2966356,20.9900908,52.3028945
20.83387,52.357967,20.844612,52.354538
21.1088362,52.2246799,21.1190863,52.2311753
21.0514517,52.2258717,21.0396276,52.2232394
21.1395125,52.2517749,21.1426803,52.2596505
21.000168,52.293484,20.993504,52.299599
21.0575055,52.4214203,21.0694645,52.4163793
20.944618,52.206749,20.952404,52.211929
20.9381794,52.395128,20.9452604,52.4007184
21.004097,52.291294,20.996597,52.296608
20.844612,52.354538,20.855064,52.351185
20.6295469,52.3733742,20.6292354,52.3651502
21.1439963,52.32907,21.145643,52.3209726
21.160915,52.39056,21.155975,52.384609
21.0423656,52.257916,21.0533291,52.2627188
21.0694645,52.4163793,21.0825834,52.4109913
21.099474,52.218967,21.0885234,52.2119097
20.965439,52.312771,20.951916,52.307037
21.0351664,52.2346806,21.0488066,52.2374182
21.0937884,52.1463959,21.0983225,52.1395062
20.9834028,52.2818113,20.9951953,52.2871596
21.0171229,52.1648417,21.0173496,52.1560905
